road,km,lat,lng
BLB,2.45,0.483063,127.968764
BLB,2.475,0.483206,127.968534
BLB,2.5,0.483308,127.968333
BLB,2.525,0.483395,127.968126
BLB,2.55,0.483468,127.967913
BLB,2.575,0.483526,127.967696
BLB,2.6,0.483568,127.967476
BLB,2.625,0.483614,127.967256
BLB,2.65,0.483718,127.967058
BLB,2.675,0.483878,127.9669
BLB,2.7,0.484076,127.966792
BLB,2.725,0.484279,127.966694
BLB,2.75,0.484486,127.966602
BLB,2.775,0.484708,127.966565
BLB,2.8,0.484933,127.966579
BLB,2.825,0.485145,127.966656
BLB,2.85,0.48533,127.966785
BLB,2.875,0.485519,127.966906
BLB,2.9,0.48574,127.966943
BLB,2.925,0.485954,127.966876
BLB,2.95,0.486115,127.966721
BLB,2.975,0.486255,127.966545
BLB,3.0,0.486395,127.966368
BLB,3.025,0.486535,127.966192
BLB,3.05,0.486675,127.966015
BLB,3.075,0.486836,127.965859
BLB,3.1,0.48704,127.965764
BLB,3.125,0.48726,127.96571
BLB,3.15,0.487479,127.965656
BLB,3.175,0.487699,127.965603
BLB,3.2,0.487919,127.965549
BLB,3.225,0.488138,127.965493
BLB,3.25,0.488351,127.965418
BLB,3.275,0.488555,127.965321
BLB,3.3,0.488747,127.965204
BLB,3.325,0.488932,127.965075
BLB,3.35,0.489117,127.964945
BLB,3.375,0.489301,127.964815
BLB,3.4,0.489494,127.964698
BLB,3.425,0.4897,127.964605
BLB,3.45,0.489916,127.964538
BLB,3.475,0.490138,127.964497
BLB,3.5,0.490363,127.964481
BLB,3.525,0.490589,127.964468
BLB,3.55,0.490815,127.964455
BLB,3.575,0.491041,127.964443
BLB,3.6,0.491266,127.96443
BLB,3.625,0.491492,127.964417
BLB,3.65,0.491718,127.964404
BLB,3.675,0.491942,127.964376
BLB,3.7,0.492163,127.964329
BLB,3.725,0.492383,127.964275
BLB,3.75,0.492592,127.964192
BLB,3.775,0.492758,127.964041
BLB,3.8,0.492858,127.963841
BLB,3.825,0.492889,127.963619
BLB,3.85,0.492888,127.963396
BLB,3.875,0.492807,127.963187
BLB,3.9,0.492685,127.962998
BLB,3.925,0.49253,127.962835
BLB,3.95,0.492361,127.962686
BLB,3.975,0.492192,127.962537
BLB,4.0,0.492023,127.962387
BLB,4.025,0.491865,127.962227
BLB,4.05,0.491766,127.962026
BLB,4.075,0.49174,127.961804
BLB,4.1,0.491789,127.961585
BLB,4.125,0.491859,127.961372
BLB,4.15,0.491931,127.961159
BLB,4.175,0.492017,127.960951
BLB,4.2,0.492122,127.960752
BLB,4.225,0.492244,127.960563
BLB,4.25,0.492374,127.960379
BLB,4.275,0.492504,127.960196
BLB,4.3,0.492634,127.960012
BLB,4.325,0.492764,127.959828
BLB,4.35,0.492892,127.959643
BLB,4.375,0.493002,127.959447
BLB,4.4,0.493103,127.959246
BLB,4.425,0.493203,127.959044
BLB,4.45,0.493331,127.95886
BLB,4.475,0.493503,127.958715
BLB,4.5,0.493707,127.95862
BLB,4.525,0.493927,127.95857
BLB,4.55,0.494149,127.958524
BLB,4.575,0.494369,127.958475
BLB,4.6,0.49459,127.958424
BLB,4.625,0.49481,127.958374
BLB,4.65,0.495025,127.958304
BLB,4.675,0.495235,127.958221
BLB,4.7,0.495458,127.958188
BLB,4.725,0.495682,127.95821
BLB,4.75,0.495902,127.958264
BLB,4.775,0.496121,127.958318
BLB,4.8,0.496341,127.958372
BLB,4.825,0.496558,127.958435
BLB,4.85,0.496764,127.958526
BLB,4.875,0.496956,127.958644
BLB,4.9,0.497138,127.958778
BLB,4.925,0.497319,127.958912
BLB,4.95,0.497462,127.959084
BLB,4.975,0.497525,127.959298
BLB,5.0,0.497558,127.959521
BLB,5.025,0.49759,127.959743
BLB,5.05,0.497625,127.959965
BLB,5.075,0.497675,127.960184
BLB,5.1,0.49774,127.960399
BLB,5.125,0.49782,127.960609
BLB,5.15,0.497916,127.960813
BLB,5.175,0.498026,127.961009
BLB,5.2,0.49815,127.961197
BLB,5.225,0.498287,127.961375
BLB,5.25,0.498437,127.961543
BLB,5.275,0.498599,127.9617
BLB,5.3,0.498766,127.961852
BLB,5.325,0.498933,127.962003
BLB,5.35,0.4991,127.962154
BLB,5.375,0.499267,127.962306
BLB,5.4,0.499434,127.962457
BLB,5.425,0.499602,127.962608
BLB,5.45,0.499769,127.962759
BLB,5.475,0.499936,127.962911
BLB,5.5,0.500103,127.963062
BLB,5.525,0.50027,127.963213
BLB,5.55,0.500437,127.963365
BLB,5.575,0.500605,127.963515
BLB,5.6,0.500786,127.963649
BLB,5.625,0.500977,127.96377
BLB,5.65,0.501168,127.963891
BLB,5.675,0.501373,127.963983
BLB,5.7,0.501586,127.964032
BLB,5.725,0.501812,127.964035
BLB,5.75,0.502031,127.963983
BLB,5.775,0.502248,127.963922
BLB,5.8,0.502474,127.963912
BLB,5.825,0.5027,127.963905
BLB,5.85,0.502921,127.963858
BLB,5.875,0.503127,127.963766
BLB,5.9,0.503332,127.96367
BLB,5.925,0.503536,127.963574
BLB,5.95,0.50374,127.963478
BLB,5.975,0.503945,127.963383
BLB,6.0,0.504159,127.963309
BLB,6.025,0.50438,127.963262
BLB,6.05,0.504605,127.963242
BLB,6.075,0.504831,127.963251
BLB,6.1,0.505054,127.963287
BLB,6.125,0.505271,127.96335
BLB,6.15,0.505485,127.963422
BLB,6.175,0.505697,127.963499
BLB,6.2,0.505907,127.963583
BLB,6.225,0.506116,127.963668
BLB,6.25,0.506326,127.963753
BLB,6.275,0.506535,127.963838
BLB,6.3,0.506745,127.963922
BLB,6.325,0.506954,127.964007
