segment,region,road,fromKm,toKm,limit,operatingArea,chainage,onStick
SL_BLB_01_40,BLB,BLB,16.8,14.7,40.0,Buket Limber,KM14.700 - KM16.800,0
SL_BLB_02_30,BLB,BLB,20.0,17.0,30.0,Buket Limber,KM17 - KM20,0
SL_BB_03_30,BB,BB,16.0,12.0,30.0,Biri Biri,KM12 - KM16,0
SL_BB_02_20,BB,BB,11.75,10.0,20.0,Biri Biri,KM10 - KM11.750,0
SL_BB_01_30,BB,BB,10.0,6.0,30.0,Biri Biri,KM6.0 - KM10.0,0
SL_TF_10_30,TF,TOFU,68.0,65.0,30.0,Tofu,KM65.0 - KM68.0,1
SL_TF_09_40,TF,TOFU,65.0,60.0,40.0,Tofu,KM60.0 - KM65.0,1
SL_TF_08_30,TF,TOFU,60.0,58.0,30.0,Tofu,KM58.0 - KM60.0,1
SL_TF_07_40,TF,TOFU,58.0,57.0,40.0,Tofu,KM57.0 - KM58.0,1
SL_TF_06_30,TF,TOFU,57.0,55.0,30.0,Tofu,KM55.0 - KM57.0,1
SL_TF_05_40,TF,TOFU,55.0,45.0,40.0,Tofu,KM45.0 - KM55.0,1
SL_TF_04_30,TF,TOFU,45.0,43.0,30.0,Tofu,KM43.0 - KM45.0,1
SL_TF_03_40,TF,TOFU,43.0,37.15,40.0,Tofu,KM37.150 - KM43.0,1
SL_TF_02_30,TF,TOFU,37.15,33.025,30.0,Tofu,KM33.025 - KM37.150,1
SL_TF_01_50,TF,TOFU,33.25,27.0,50.0,Tofu,KM27 - KM 33.25,1
SL_KR_07_50,KR,KR,27.0,23.5,50.0,KAORAHAI,KM 23.5 - 27,1
SL_KR_06_40,KR,KR,23.5,21.05,40.0,KAORAHAI,KM 21.05 - 23.50,1
SL_KR_05_50,KR,KR,21.05,19.05,50.0,KAORAHAI,KM 19.05 - 21.05,1
SL_KR_04_30,KR,KR,19.05,14.825,30.0,KAORAHAI,KM 14.825 - 19.05,1
SL_KR_03_40,KR,KR,14.825,11.3,40.0,KAORAHAI,KM 11.3 - 14.825,1
SL_KR_02_30,KR,KR,11.3,7.9,30.0,KAORAHAI,KM 7.9 - 11.3,1
SL_KR_01_20,KR,KR,7.9,5.0,20.0,KAORAHAI,KM 5 - 7.9,1
