Origin	Destination	WB_IWIP_T19	WB_RIM_T7	WB_IWIP_T6	WB_IWIP_T13	WB_IWIP_T18	WB_IWIP_T2	WB_IWIP_T7	WB_IWIP_T8	WB_IWIP_T12	WB_IWIP_T17	WB_IWIP_T14	WB_IWIP_T15	WB_IWIP_T16
BLB	POS 14	1	1
BLB	POS 15	1
BLB	POS 16	1
BLB	FeNi KM0	1	1	1	1
BLB	BSE	1	1	1
BLB	HUAFEI	1				1	1
KR	POS 12												1	1
KR	POS 6											1	1	1
KR	FeNi KM15									1	1	1	1	1
KR	FeNi KM0							1	1			1	1	1
KR	BSE							1	1			1	1	1
KR	HUAFEI							1	1			1	1	1
TF	POS 12												1	1
TF	POS 6											1	1	1
TF	FeNi KM15									1	1	1	1	1
TF	FeNi KM0							1	1			1	1	1
TF	BSE							1	1			1	1	1
TF	HUAFEI							1	1			1	1	1
