HOUR_TS,SEG_ID,DIR,SUM_SPD,FIX_N,TRUCK_N,SUM_TRAV_MS,TRAV_N
1784505600000,TF KM54-55,down,850.0,50,5,1000,1
1784505600000,TF KM54-55,up  ,1000.0,50,4,1000,1
1784505600000,KR KM30-31,down,850.0,50,5,1000,1
1784505600000,KR KM30-31,up  ,1000.0,50,4,1000,1
1784505600000,KR KM20-21,down,850.0,50,5,1000,1
1784505600000,KR KM20-21,up  ,1000.0,50,4,1000,1
1784505600000,CRD KM5-6,down,850.0,50,5,1000,1
1784505600000,CRD KM5-6,up  ,1000.0,50,4,1000,1
1784509200000,TF KM54-55,down,850.0,50,5,1000,1
1784509200000,TF KM54-55,up  ,1000.0,50,4,1000,1
1784509200000,KR KM30-31,down,850.0,50,5,1000,1
1784509200000,KR KM30-31,up  ,1000.0,50,4,1000,1
1784509200000,KR KM20-21,down,850.0,50,5,1000,1
1784509200000,KR KM20-21,up  ,1000.0,50,4,1000,1
1784509200000,CRD KM5-6,down,850.0,50,5,1000,1
1784509200000,CRD KM5-6,up  ,1000.0,50,4,1000,1
1784512800000,TF KM54-55,down,850.0,50,5,1000,1
1784512800000,TF KM54-55,up  ,1000.0,50,4,1000,1
1784512800000,KR KM30-31,down,850.0,50,5,1000,1
1784512800000,KR KM30-31,up  ,1000.0,50,4,1000,1
1784512800000,KR KM20-21,down,850.0,50,5,1000,1
1784512800000,KR KM20-21,up  ,1000.0,50,4,1000,1
1784512800000,CRD KM5-6,down,850.0,50,5,1000,1
1784512800000,CRD KM5-6,up  ,1000.0,50,4,1000,1
1784516400000,TF KM54-55,down,850.0,50,5,1000,1
1784516400000,TF KM54-55,up  ,1000.0,50,4,1000,1
1784516400000,KR KM30-31,down,850.0,50,5,1000,1
1784516400000,KR KM30-31,up  ,1000.0,50,4,1000,1
1784516400000,KR KM20-21,down,850.0,50,5,1000,1
1784516400000,KR KM20-21,up  ,1000.0,50,4,1000,1
