destination,material_type,classification_source,classification_confident,trips,ore_codes_seen,geofence_tos_status,name_matches_ore_keyword,name_matches_waste_keyword,needs_site_verification
FENI KM0,ORE,weighbridge_material_code,True,278246,"LIM,SAP",,False,False,False
POS 12,ORE,weighbridge_material_code,True,105559,"LIM,SAP",,False,False,False
POS 10,ORE,weighbridge_material_code,True,40092,SAP,,False,False,False
HUAFEI,ORE,weighbridge_material_code,True,27988,"LIM,SAP",,False,False,False
CUU KM10,ORE,weighbridge_material_code,True,10767,"LIM,SAP",,False,False,False
BSE,ORE,weighbridge_material_code,True,5740,"LIM,SAP",,False,False,False
POS 14,ORE,weighbridge_material_code,True,5037,SAP,,False,False,False
POS 16,ORE,weighbridge_material_code,True,4582,SAP,,False,False,False
POS 15,ORE,weighbridge_material_code,True,2046,SAP,,False,False,False
POS CBB,ORE,weighbridge_material_code,True,1740,LIM,,False,False,False
POS 6,ORE,weighbridge_material_code,True,765,SAP,,False,False,False
GOMDI-SNMI,ORE,weighbridge_material_code,True,249,SAP,,False,False,False
GOMDI-YII,ORE,weighbridge_material_code,True,227,SAP,,False,False,False
POS6EXT,ORE,weighbridge_material_code,True,209,SAP,,False,False,False
GOMDI-DBNI,ORE,weighbridge_material_code,True,94,SAP,,False,False,False
GOMDI-LIPE,ORE,weighbridge_material_code,True,49,SAP,,False,False,False
SOFIFI,ORE,weighbridge_material_code,True,35,SAP,,False,False,False
